STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ORIGIN,Origin,TRAINING_PLACE,Place of training,HEALTH_PROF,Health profession,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2004,,6.29,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2005,,6.46,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2006,,6.57,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2007,,6.61,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2008,,6.96,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2009,,6.94,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2010,,7.22,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2011,,7.21,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2012,,6.94,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2013,,7.54,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2014,,7.69,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2015,,7.73,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2016,,7.91,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2017,,8.11,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2018,,8.32,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2019,,8.48,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2020,,8.61,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2021,,8.81,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CAN,Canada,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2022,,9.139,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2008,,21.843,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2009,,23.046,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2010,,24.127,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2011,,25.31,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2012,,27.023,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2013,,29.348,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2014,,30.505,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2015,,31.53,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2016,,32.896,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2017,,34.065,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2018,,35.352,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2019,,36.3,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2020,,37.36,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2021,,38.44,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHE,Switzerland,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2022,,39.46,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2004,,8.14,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2005,,8.08,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2006,,8.06,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2007,,8.06,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2008,,7.91,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2009,,7.41,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2010,,7.01,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2011,,7.15,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2012,,7.09,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2013,,6.96,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2014,,6.74,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2015,,6.52,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2016,,6.25,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2017,,5.95,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2018,,5.53,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2019,,5.27,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2020,,5.95,,B,Time series break,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2021,,5.85,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,LVA,Latvia,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,PHYS,Physicians,2022,,7.01,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHL,Chile,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2014,,2.02,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHL,Chile,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2015,,2.21,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHL,Chile,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2016,,2.13,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHL,Chile,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2017,,2.09,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHL,Chile,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2018,,2.04,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHL,Chile,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2019,,2.19,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHL,Chile,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2020,,1.97,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHL,Chile,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2021,,1.85,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,CHL,Chile,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2022,,1.82,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2013,,1.22,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2014,,1.33,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2015,,1.48,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2016,,1.48,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2017,,1.72,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2018,,1.78,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2019,,1.82,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2020,,1.89,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2021,,1.88,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,HUN,Hungary,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2022,,1.89,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2003,,2.157,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2004,,2.281,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2005,,2.336,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2006,,2.359,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2007,,2.338,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2008,,2.344,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2009,,2.405,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2010,,2.473,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2011,,2.602,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2012,,2.721,,,,,,,,,,0,Zero
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_WFMI@DF_HEALTH_WFMI(1.0),Health workforce migration,I,FRA,France,A,Annual,HW,Health workforce stock,PT_WR_PRF_HLTH,Percentage of workers in the same health profession,W,World,FOREIGN,Foreign,MINU,Nurses,2013,,2.804,,,,,,,,,,0,Zero
